Suffering Before Entering Glory,Penderitaan Sebelum Masuk ke Kemuliaan
Luke 24:1-53,Lukas 24:1-53
Introduction,Pendahuluan
"Today is the last Sunday of 2024, and fittingly, between Christmas and New Year, our passage from the last chapter of the Gospel of Luke is on our Lord’s resurrection and ascension. I will explain in a moment why I say “fittingly.”","Hari ini adalah Minggu terakhir tahun 2024, dan dengan tepat, di antara Natal dan Tahun Baru, perikop kita dari pasal terakhir Injil Lukas berbicara tentang kebangkitan dan kenaikan Tuhan kita. Saya akan menjelaskan sebentar lagi mengapa saya mengatakan ""dengan tepat."""
"But first, as disciples of Christ, we live our lives in what we call God’s history of redemption, which began right after the first Adam fell into sin and ends with the second coming of the second, or last, Adam.","Namun pertama-tama, sebagai murid Kristus, kita hidup dalam apa yang kita sebut sejarah penebusan Allah, yang dimulai segera setelah Adam pertama jatuh ke dalam dosa dan berakhir dengan kedatangan kedua Adam kedua, atau Adam terakhir."
"The history of redemption began when God declared war against Satan and its offspring, saying to the serpent in Gen 3:15, which we call the “first gospel” (proto-euanggelion), “I will put enmity between you and the woman, and between your offspring and her offspring; he shall bruise your head, and you shall bruise his heel.”","Sejarah penebusan dimulai ketika Allah menyatakan perang melawan Iblis dan keturunannya, dengan berkata kepada ular dalam Kej 3:15, yang kita sebut ""injil pertama"" (proto-euanggelion), ""Aku akan mengadakan permusuhan antara engkau dan perempuan ini, antara keturunanmu dan keturunannya; keturunannya akan meremukkan kepalamu, dan engkau akan meremukkan tumitnya."""
"As the history of redemption plays out, we have seen how the offspring of the woman came into the world at the first Christmas, then he bruised the serpent’s offspring on the first Good Friday and Resurrection Sunday.","Seiring sejarah penebusan berlangsung, kita telah melihat bagaimana keturunan perempuan itu datang ke dunia pada Natal pertama, lalu Ia meremukkan keturunan ular pada Jumat Agung dan Minggu Kebangkitan pertama."
"The entire history of redemption will come to completion when the woman’s offspring claims complete victory over the ancient serpent (the dragon), and the last enemy (death) is thrown into the lake of fire (Rev 20).","Seluruh sejarah penebusan akan mencapai penyelesaian ketika keturunan perempuan itu mengklaim kemenangan penuh atas ular tua (naga), dan musuh terakhir (maut) dilemparkan ke dalam lautan api (Why 20)."
"Yet, before that day, we live in the era between Jesus’ death, resurrection, and ascension on the one hand, and the complete eradication of Satan and death on the other. And in the same way, we are now done with Christmas celebration and ready to welcome 2025.","Namun, sebelum hari itu, kita hidup di era antara kematian, kebangkitan, dan kenaikan Yesus di satu sisi, dan penghancuran penuh Iblis dan kematian di sisi lain. Dengan cara yang sama, kita sekarang selesai merayakan Natal dan siap menyambut tahun 2025."
"That is why I said it is fitting, and we need the assurance and comfort from the truths of both the doctrines of resurrection and ascension. Let’s dig in.","Itulah sebabnya saya mengatakan ini tepat, dan kita membutuhkan keyakinan dan penghiburan dari kebenaran doktrin kebangkitan dan kenaikan. Mari kita selami lebih jauh."
,
The Resurrection,Kebangkitan
"From chapter 23 we know that Jesus was crucified on Friday, the day before the Sabbath, the observation of which began at sunset on Friday and ended at sunset on Saturday (Lk 23:54).","Dari pasal 23 kita tahu bahwa Yesus disalibkan pada hari Jumat, sehari sebelum Sabat, yang perayaannya dimulai saat matahari terbenam pada hari Jumat dan berakhir saat matahari terbenam pada hari Sabtu (Luk 23:54)."
"As the preparation for Sabbath observation was under way, Joseph of Arimathea went to Pilate to ask for Jesus’ body to be taken down from the cross. Then he laid the body in a new tomb, under the watchful eyes of the Galilean women.","Saat persiapan perayaan Sabat sedang berlangsung, Yusuf dari Arimatea pergi kepada Pilatus untuk meminta tubuh Yesus diturunkan dari salib. Kemudian dia meletakkan tubuh itu di kubur baru, di bawah pengawasan para perempuan Galilea."
"Then these women went home to prepare spices and ointments to anoint Jesus’ body, because it was their custom to anoint the body of the dead for a proper burial and Jesus’ body was not yet anointed. Then they rested to observe the Sabbath until sunset on Saturday.","Kemudian perempuan-perempuan ini pulang untuk menyiapkan rempah-rempah dan minyak untuk mengurapi tubuh Yesus, karena itu adalah kebiasaan mereka untuk mengurapi jenazah demi pemakaman yang layak, dan tubuh Yesus belum diurapi. Lalu mereka beristirahat untuk merayakan Sabat hingga matahari terbenam pada hari Sabtu."
"Chapter 24 opens with the women going to the tomb at early dawn, that is, at daybreak on Sunday morning, bringing with them the spices and ointment they had prepared. This is the first point of agreement among the four Gospels on the account of the resurrection.","Pasal 24 dimulai dengan perempuan-perempuan itu pergi ke kubur pada dini hari, yaitu saat fajar menyingsing pada pagi Minggu, membawa rempah-rempah dan minyak yang telah mereka siapkan. Ini adalah poin kesepakatan pertama di antara keempat Injil tentang kisah kebangkitan."
"The second point of agreement, and very crucial concerning the case for resurrection, is that the stone at the entrance of the tomb was rolled away, so that either the women or the disciples could step inside the tomb to verify that no dead body was in the tomb.","Poin kesepakatan kedua, yang sangat penting terkait kebangkitan, adalah bahwa batu di pintu masuk kubur telah digulingkan, sehingga perempuan-perempuan atau murid-murid bisa masuk ke dalam kubur untuk memastikan bahwa tidak ada jenazah di dalamnya."
"The third point of agreement is rather subtle, that the angel(s) appeared only to the women at the tomb [Matthew and Mark have one angel, while Luke and John have two], but not to the apostles.","Poin kesepakatan ketiga agak halus, yaitu bahwa malaikat hanya menampakkan diri kepada perempuan-perempuan di kubur [Matius dan Markus menyebut satu malaikat, sedangkan Lukas dan Yohanes menyebut dua], tetapi tidak kepada para rasul."
"Other than these, the four Gospels give us different perspectives of the event, which unbelievers see as contradicting accounts, indicating the resurrection was made up. Yet, able scholars have proven otherwise, but we can't go into the details here.","Selain itu, keempat Injil memberikan perspektif yang berbeda tentang peristiwa tersebut, yang oleh orang-orang tidak percaya dianggap sebagai kisah yang bertentangan, menunjukkan kebangkitan itu direkayasa. Namun, para ahli yang kompeten telah membuktikan sebaliknya, meskipun kita tidak bisa membahas detailnya di sini."
"It is remarkable when we think about it, that both Jesus’ birth and resurrection were, on the one hand, not unnoticed occurrences, yet on the other hand, they were not accompanied by a lot of fanfares.","Sangat luar biasa ketika kita memikirkannya, bahwa baik kelahiran maupun kebangkitan Yesus, di satu sisi, bukanlah peristiwa yang luput dari perhatian, tetapi di sisi lain, keduanya tidak disertai banyak sorak-sorai."
"Yet, significantly, both were proclaimed by angels, not to the upper levels of society, but first to the lowly shepherds and the women, who were not fit to give public testimonies. When they did, not even the apostles believed the women.","Namun, secara signifikan, keduanya diumumkan oleh malaikat, bukan kepada kalangan atas masyarakat, tetapi pertama-tama kepada para gembala rendah hati dan perempuan-perempuan, yang dianggap tidak layak memberikan kesaksian di depan umum. Ketika mereka melakukannya, bahkan para rasul pun tidak mempercayai mereka."
"While Luke (and the other Gospel authors) gives us the account surrounding Jesus’ resurrection, the apostle Paul gives us the significance of Jesus’ resurrection. He is the only NT author to address the doctrine of resurrection at length. Let’s now turn to Paul’s rich teachings on Christ’s resurrection in 1 Cor 15.","Ketika Lukas (dan penulis Injil lainnya) memberikan kita kisah seputar kebangkitan Yesus, rasul Paulus memberikan kita makna kebangkitan Yesus. Dia adalah satu-satunya penulis PB yang membahas doktrin kebangkitan secara panjang lebar. Sekarang, mari kita lihat pengajaran Paulus yang kaya tentang kebangkitan Kristus dalam 1 Kor 15."
"Paul says that if there is no resurrection, then our faith is in vain (v. 14, 17), then those who have fallen asleep (dead!) have perished (v. 18), then we are of all people most to be pitied (v. 19).","Paulus berkata bahwa jika tidak ada kebangkitan, maka iman kita sia-sia (ay. 14, 17), maka mereka yang telah mati (tertidur!) telah binasa (ay. 18), dan kita adalah orang-orang yang paling malang (ay. 19)."
"What then makes Jesus’ resurrection significant? For our purpose today, I would underline two main points from all that Paul elaborates.","Jadi, apa yang membuat kebangkitan Yesus begitu penting? Untuk tujuan hari ini, saya akan menyoroti dua poin utama dari semua yang dijelaskan Paulus."
"First, in 1 Cor 15:20, he says, “Christ has been raised from the dead, the firstfruits of those who have fallen asleep.” What does Paul mean by “firstfruits”?","Pertama, dalam 1 Kor 15:20, dia berkata, ""Kristus telah dibangkitkan dari antara orang mati, sebagai yang sulung dari orang-orang yang telah meninggal."" Apa yang dimaksud Paulus dengan ""buah sulung""?"
We probably have bought something on installments. Usually we need to pay an amount of “down payment” before we make regular installments. “Down payment” is the financial term for what is translated here in the agrarian term as “firstfruits.”,"Kita mungkin pernah membeli sesuatu dengan mencicil. Biasanya kita perlu membayar sejumlah ""uang muka"" sebelum mencicil secara berkala. ""Uang muka"" adalah istilah finansial untuk apa yang diterjemahkan di sini dalam istilah agraris sebagai ""buah sulung."""
"After we give the down payment, we are obligated to pay the monthly installments; after we reap the firstfruits, we expect to reap the remainder of the harvest in due time.","Setelah kita memberikan uang muka, kita diwajibkan membayar cicilan bulanan; setelah kita memanen buah sulung, kita berharap untuk memanen sisanya di waktu yang tepat."
"If Jesus’ resurrection is the firstfruits, then there would be resurrection of believers, which has been called “two acts of the same episode.” This means Jesus’ resurrection is the guarantee that we shall all be raised in due time.","Jika kebangkitan Yesus adalah buah sulung, maka akan ada kebangkitan orang percaya, yang disebut ""dua tindakan dari episode yang sama."" Ini berarti kebangkitan Yesus adalah jaminan bahwa kita semua akan dibangkitkan pada waktunya."
"How then shall we live our life today, if we are guaranteed that after we die, we shall be raised again to live eternally, never to die nor to get sick nor to be injured anymore?","Lalu, bagaimana kita harus menjalani hidup kita hari ini, jika kita dijamin bahwa setelah kita mati, kita akan dibangkitkan lagi untuk hidup kekal, tidak pernah mati, tidak pernah sakit, atau terluka lagi?"
"This week the Gospel Coalition shares a Christmas letter from its co-founder Don Carson (the other founder was Tim Keller), whose Parkinson’s is getting worse. Carson is a respected biblical scholar who has touched many around the world for decades with biblical teachings and writings.","Minggu ini, Gospel Coalition membagikan surat Natal dari salah satu pendirinya, Don Carson (pendiri lainnya adalah Tim Keller), yang Parkinsonnya semakin parah. Carson adalah seorang sarjana Alkitab yang dihormati dan telah menyentuh banyak orang di seluruh dunia selama beberapa dekade dengan pengajaran dan tulisannya."
"Personally, Dewi and I have benefited from the daily devotion he writes, For the Love of God vols 1-2, which have accompanied our daily Bible reading for many years, and at the Gospel Coalition conference last year, it turned out that many have also benefited from them.","Secara pribadi, Dewi dan saya telah banyak mendapat manfaat dari renungan harian yang dia tulis, For the Love of God vol 1-2, yang telah menemani pembacaan Alkitab harian kami selama bertahun-tahun, dan di konferensi Gospel Coalition tahun lalu, ternyata banyak orang juga mendapat manfaat dari itu."
"I first noticed Carson’s Parkinson’s during COVID, when his talk was streamed online and his hand kept shaking. Now he has to end his speaking engagements and other ministry involvements, but he gave these comforting words, “I am not suffering from anything that a good general resurrection can't fix.”","Saya pertama kali memperhatikan Parkinson Carson selama COVID, ketika pembicaraannya disiarkan secara daring dan tangannya terus gemetar. Sekarang dia harus mengakhiri keterlibatannya dalam berbicara dan pelayanan lainnya, tetapi dia memberikan kata-kata penghiburan ini, ""Saya tidak menderita sesuatu yang tidak bisa diperbaiki oleh kebangkitan umum yang baik."""
"What he means is that after he eventually dies (who doesn’t?), he and other believers, including you and I, will experience a general resurrection. At that point, everyone will not only be in prime shape, but also will remain that way for all eternity.","Maksudnya adalah bahwa setelah dia akhirnya mati (siapa yang tidak?), dia dan orang percaya lainnya, termasuk Anda dan saya, akan mengalami kebangkitan umum. Pada saat itu, semua orang tidak hanya dalam kondisi terbaik, tetapi juga akan tetap seperti itu untuk selama-lamanya."
"In light of the resurrection, we shall have no fear for our physical weaknesses catching up on us, but we need to be more concerned about the growth of our relationship with the Lord.","Dalam terang kebangkitan, kita tidak perlu takut akan kelemahan fisik kita yang mengejar kita, tetapi kita perlu lebih peduli tentang pertumbuhan hubungan kita dengan Tuhan."
"The second point from Paul is in 1 Cor 15:45, where he says, “Thus it is written, ‘The first man Adam became a living being’; the last Adam became a life-giving spirit.” What does Paul mean here?","Poin kedua dari Paulus ada dalam 1 Kor 15:45, di mana dia berkata, “Seperti ada tertulis: ‘Manusia pertama, Adam, menjadi makhluk yang hidup’; Adam yang terakhir menjadi roh yang menghidupkan.” Apa maksud Paulus di sini?"
"The first part clearly alludes to part of Gen 2:7 (“the man became a living creature”), which is how God gave life to Adam by breathing into him the breath of life. But what does the second part (“the last Adam became a life-giving spirit”) refer to?","Bagian pertama jelas merujuk pada Kej 2:7 (“manusia itu menjadi makhluk yang hidup”), yaitu bagaimana Allah memberikan kehidupan kepada Adam dengan menghembuskan nafas kehidupan ke dalamnya. Tetapi apa yang dimaksud dengan bagian kedua (“Adam yang terakhir menjadi roh yang menghidupkan”)?"
"It refers to how the resurrected Jesus, who is the last Adam, gave life to believers by sending his Spirit into us. This is actually a play on words, because in both Hebrew [ruach] and Greek [pneuma], the same word can be translated either as “breath” or “spirit.”","Ini merujuk pada bagaimana Yesus yang telah bangkit, yang adalah Adam yang terakhir, memberikan hidup kepada orang percaya dengan mengirimkan Roh-Nya ke dalam kita. Ini sebenarnya adalah permainan kata, karena dalam bahasa Ibrani [ruach] dan Yunani [pneuma], kata yang sama dapat diterjemahkan sebagai “nafas” atau “roh.”"
"This is also what John the Baptist meant when he referred to Jesus as “he who baptizes with the Holy Spirit” (Jn 1:33), so that believers might not only live truly in the image of God, but also be empowered to be witnesses of Christ by the same power that raised Jesus from the dead.","Inilah juga yang dimaksud oleh Yohanes Pembaptis ketika dia merujuk kepada Yesus sebagai “Dia yang membaptis dengan Roh Kudus” (Yoh 1:33), sehingga orang percaya bukan hanya hidup dalam gambar Allah yang sejati, tetapi juga diberdayakan untuk menjadi saksi Kristus dengan kuasa yang sama yang membangkitkan Yesus dari kematian."
"What does that resurrection power look like in real life? Last week an email from the Gospel Coalition caught my attention, which you can also receive by signing up [www.thegospelcoalition.org]. That email contains an article entitled Finally Transformed: From Transgender to Christian.","Bagaimana rupa kuasa kebangkitan itu dalam kehidupan nyata? Minggu lalu, sebuah email dari Gospel Coalition menarik perhatian saya, yang juga bisa Anda terima dengan mendaftar [www.thegospelcoalition.org]. Email itu berisi artikel berjudul Akhirnya Berubah: Dari Transgender Menjadi Kristen."
"In this article the writer relates his journey from a biological male to transgender female, after going through psychological therapies, hormone treatments, legal paperwork, and finally surgery.","Dalam artikel ini penulis menceritakan perjalanannya dari seorang laki-laki biologis menjadi perempuan transgender, setelah menjalani terapi psikologis, perawatan hormon, dokumen hukum, dan akhirnya operasi."
"Things began to change when his friend, who was “kind, informative, and encouraging,” gave him a copy of the Gospel of Matthew as an introduction to the NT, and then invited him to church, followed by lunch with the pastor and a church friend, who both helped him understand the gospel and the importance of Jesus in his life.","Segalanya mulai berubah ketika seorang temannya, yang “baik hati, informatif, dan mendukung,” memberinya salinan Injil Matius sebagai pengantar PB, lalu mengundangnya ke gereja, diikuti makan siang bersama pendeta dan seorang teman gereja, yang keduanya membantunya memahami Injil dan pentingnya Yesus dalam hidupnya."
"The friend who invited him to church also gave him a copy of Gentle and Lowly, which I offered to all of you some time ago. This book sparked his interest to read more about Christianity.","Teman yang mengundangnya ke gereja juga memberinya salinan buku Gentle and Lowly, yang pernah saya tawarkan kepada Anda semua beberapa waktu lalu. Buku ini membangkitkan minatnya untuk membaca lebih banyak tentang Kekristenan."
"After a few weeks, he realized he didn’t need a different life, but a new birth as a Christian. He then stopped wearing dresses to church and changed back to his birth name.","Setelah beberapa minggu, dia menyadari bahwa dia tidak membutuhkan kehidupan yang berbeda, tetapi kelahiran baru sebagai seorang Kristen. Dia kemudian berhenti mengenakan gaun ke gereja dan kembali ke nama lahirnya."
"This is the kind of transformative power at work that changed a sinner’s heart, the power that comes only from the Spirit sent by the last Adam after his ascension.","Inilah jenis kuasa transformasi yang bekerja untuk mengubah hati seorang pendosa, kuasa yang hanya datang dari Roh yang diutus oleh Adam terakhir setelah kenaikan-Nya."
"Therefore, there are two resurrections that we will experience as believers. First a spiritual resurrection when we believe (our transformation), and then a bodily general resurrection at Jesus’ second coming.","Oleh karena itu, ada dua kebangkitan yang akan kita alami sebagai orang percaya. Pertama adalah kebangkitan rohani saat kita percaya (transformasi kita), dan kedua adalah kebangkitan tubuh secara umum pada kedatangan kedua Yesus."
,
The Ascension,Kenaikan
"After his resurrection, Jesus remained with the disciples for forty days, teaching them about the kingdom of God, before he was taken up to the Father (Acts 1:3).","Setelah kebangkitan-Nya, Yesus tinggal bersama murid-murid selama empat puluh hari, mengajar mereka tentang Kerajaan Allah, sebelum Dia diangkat kepada Bapa (Kis 1:3)."
The Bible in both the OT and the NT give us arresting images concerning the significance of the Ascension.,"Alkitab, baik dalam PL maupun PB, memberikan kita gambaran yang mengesankan tentang pentingnya Kenaikan."
"Jesus is the Son who has perfectly and obediently accomplished the mission the Father sent him to carry out, which is to redeem a people for his kingdom through his incarnation, death and resurrection. Upon his successful return from his mission, the Father rewards him with dominion and glory and a kingdom. This actually is Jesus’ ascension to the throne!","Yesus adalah Anak yang telah dengan sempurna dan taat menyelesaikan misi yang Bapa utus untuk Dia lakukan, yaitu menebus umat bagi kerajaan-Nya melalui inkarnasi, kematian, dan kebangkitan-Nya. Setelah keberhasilan-Nya kembali dari misi-Nya, Bapa memberi-Nya kuasa, kemuliaan, dan sebuah kerajaan. Ini sebenarnya adalah kenaikan Yesus ke takhta!"
"One of these images in the OT book of Daniel 7:13-14 is when Daniel writes, “I saw in the night visions, and behold, with the clouds of heaven there came one like a son of man, and he came to the Ancient of Days and was presented before him. And to him was given dominion and glory and a kingdom, that all peoples, nations, and languages should serve him; and his dominion is an everlasting dominion, which shall not pass away, and his kingdom one that shall not be destroyed.”","Salah satu gambaran ini ada dalam kitab PL Daniel 7:13-14 ketika Daniel menulis, “Aku terus melihat dalam penglihatan malam itu, tampak datang dengan awan-awan dari langit seorang seperti anak manusia; ia datang kepada Yang Lanjut Usia dan ia dibawa ke hadapan-Nya. Lalu diberikan kepadanya kekuasaan dan kemuliaan dan suatu kerajaan, supaya orang-orang dari segala bangsa, suku bangsa, dan bahasa mengabdi kepadanya; kekuasaannya ialah kekuasaan yang kekal, yang tidak akan lenyap, dan kerajaannya ialah kerajaan yang tidak akan musnah.”"
"One of these images in the NT book is from Rev 5:1-5, when no one is found worthy to open the scroll in God’s right hand and to break its seals, only the Lion of the tribe of Judah, the root of David, the Lamb who had been slain but now standing, namely Jesus, is worthy to do that, because he has conquered through his active and passive obedience.","Salah satu gambaran ini dalam kitab PB ada di Why 5:1-5, ketika tidak ada seorang pun yang ditemukan layak untuk membuka gulungan kitab di tangan kanan Allah dan memecahkan segel-segelnya, hanya Singa dari suku Yehuda, akar Daud, Anak Domba yang telah disembelih tetapi kini berdiri, yaitu Yesus, yang layak melakukannya, karena Dia telah menang melalui ketaatan aktif dan pasif-Nya."
"His active obedience comes from him obeying the requirements of the laws with sinless perfection, and his passive obedience from him obeying the requirements to die for the sins of the people whom he came to redeem.","Ketaatan aktif-Nya berasal dari kepatuhan-Nya terhadap tuntutan hukum dengan kesempurnaan tanpa dosa, dan ketaatan pasif-Nya dari kepatuhan-Nya untuk mati bagi dosa-dosa orang yang datang untuk Dia tebus."
"What then is the significance of the scrolls that Jesus receives from the Father? That scroll represents all the Father’s plan and will for the entire human race, and it is now handed over for Jesus the Son to carry out.","Apa arti penting gulungan kitab yang Yesus terima dari Bapa? Gulungan kitab itu melambangkan seluruh rencana dan kehendak Bapa bagi umat manusia, dan kini diserahkan kepada Yesus Sang Anak untuk melaksanakannya."
"No wonder in the Apostles’ Creed, which we recite every Sunday, we affirm our belief that Jesus “ascended to heaven and is seated at the right hand of God the Father almighty. From there he shall come to judge the living and the dead,” because “all authority in heaven and on earth has been given to” him (Matt 28:18).","Tidak heran jika dalam Pengakuan Iman Rasuli, yang kita ucapkan setiap Minggu, kita menyatakan keyakinan bahwa Yesus “naik ke sorga, duduk di sebelah kanan Allah Bapa yang Mahakuasa. Dari sana Ia akan datang untuk menghakimi orang hidup dan mati,” karena “segala kuasa di sorga dan di bumi telah diberikan kepada-Nya” (Mat 28:18)."
"So, the ascension implies Jesus being highly exalted and bestowed “the name that is above every name” (Phil 2:9), that is, he now rules the universe with God. We should then be comforted in knowing that our Lord and Savior reigns!","Jadi, kenaikan menunjukkan bahwa Yesus sangat ditinggikan dan diberikan “nama di atas segala nama” (Flp 2:9), yaitu, Dia kini memerintah alam semesta bersama Allah. Kita seharusnya terhibur dengan mengetahui bahwa Tuhan dan Juruselamat kita memerintah!"
"The other side of Jesus’ enthronement that concerns us no less is that if he is a Ruler, and a righteous and holy One, while we are wretched sinners, then we are doomed to face his impartial judgment, because he cannot turn a blind eye toward sin.","Sisi lain dari penobatan Yesus yang tidak kalah penting bagi kita adalah bahwa jika Dia adalah Penguasa, yang benar dan kudus, sedangkan kita adalah pendosa yang malang, maka kita ditakdirkan untuk menghadapi penghakiman-Nya yang tidak memihak, karena Dia tidak bisa menutup mata terhadap dosa."
"Yet, the writer of Hebrews tells us in Heb 7:25, “…he is able to save to the uttermost those who draw near to God through him, since he always lives to make intercession for them.”","Namun, penulis Ibrani memberi tahu kita dalam Ibr 7:25, “…Ia sanggup menyelamatkan dengan sempurna semua orang yang oleh Dia datang kepada Allah. Sebab Ia hidup senantiasa untuk menjadi Pengantara mereka.”"
"According to Dane Ortlund in Gentle and Lowly, “One of the more neglected doctrines in the church today is the heavenly intercession of Christ,” that is, “what Jesus is doing now,” because we might think that “everything we need to be saved is already accomplished.”","Menurut Dane Ortlund dalam Gentle and Lowly, “Salah satu doktrin yang lebih sering diabaikan di gereja saat ini adalah pengantaraan surgawi Kristus,” yaitu, “apa yang Yesus lakukan sekarang,” karena kita mungkin berpikir bahwa “semua yang kita butuhkan untuk diselamatkan telah selesai dilakukan.”"
"Of course, this doesn’t mean something was left unfinished in Christ’s atoning work on the cross, but as Calvin says, in his intercession, Christ never ceases to “turn the Father’s eyes to his own righteousness and to avert his gaze from our sins,” because we are in the state of sinfulness on earth.","Tentu saja, ini tidak berarti ada sesuatu yang belum selesai dalam pekerjaan pendamaian Kristus di kayu salib, tetapi seperti yang dikatakan Calvin, dalam pengantaraan-Nya, Kristus tidak pernah berhenti untuk “mengalihkan mata Bapa kepada kebenaran-Nya sendiri dan mengalihkan pandangan-Nya dari dosa-dosa kita,” karena kita berada dalam keadaan berdosa di bumi."
"In short, part of Jesus’ heavenly ministry is to pray for us, which recalls what he said to Peter the night he was betrayed, “Simon, Simon, behold, Satan demanded to have you, that he might sift you like wheat, but I have prayed for you that your faith may not fail. And when you have turned again, strengthen your brothers” (Lk 22:31-32).","Singkatnya, bagian dari pelayanan surgawi Yesus adalah untuk berdoa bagi kita, yang mengingatkan kita pada apa yang Dia katakan kepada Petrus pada malam Dia dikhianati, “Simon, Simon, lihatlah, Iblis telah menuntut untuk menampi kamu seperti gandum, tetapi Aku telah berdoa untukmu supaya imanmu jangan gugur. Dan jika engkau sudah insaf, kuatkanlah saudara-saudaramu” (Luk 22:31-32)."
"Ortlund takes it a step further by pointing us to an even more comforting truth, that is, Jesus is not only an intercessor, but also an advocate, as the apostle John says in 1 John 2:1, “My little children, I am writing these things to you so that you may not sin. But if anyone sin, we have an advocate with the Father, Jesus Christ the righteous.”","Ortlund melangkah lebih jauh dengan menunjukkan kepada kita kebenaran yang bahkan lebih menghibur, yaitu, Yesus bukan hanya seorang pengantara, tetapi juga seorang pembela, seperti yang dikatakan rasul Yohanes dalam 1 Yoh 2:1, “Anak-anakku, hal-hal ini kutuliskan kepada kamu, supaya kamu jangan berbuat dosa. Namun, jika seorang berbuat dosa, kita mempunyai seorang pengantara pada Bapa, yaitu Yesus Kristus yang adil.”"
If “an intercessor stands between two parties; an advocate doesn’t simply stand in between the two parties but steps over and joins the one party as he approaches the other.”,Jika “seorang pengantara berdiri di antara dua pihak; seorang pembela tidak hanya berdiri di antara dua pihak tetapi melangkah lebih jauh dan bergabung dengan satu pihak saat dia mendekati pihak lainnya.”
"For that reason, “intercession is something Christ is always doing, while advocacy is something he does as occasion calls for it.” He intercedes in our general sinfulness even as saints, but he advocates in case we sin big time, so that we don’t give up as we are comforted more in times of failure.","Oleh karena itu, “pengantaraan adalah sesuatu yang selalu Kristus lakukan, sementara pembelaan adalah sesuatu yang Dia lakukan ketika keadaan memanggilnya.” Dia menjadi pengantara dalam dosa kita secara umum bahkan sebagai orang kudus, tetapi Dia menjadi pembela jika kita melakukan dosa besar, sehingga kita tidak menyerah dan mendapatkan penghiburan lebih besar di saat kegagalan."
"Why do we need both intercession and advocacy? Other than to make us right with God, it is also because of the accusations hurled at us by Satan the accuser, who accuses us day and night before our God (Rev 12:10), so that we might be discouraged.","Mengapa kita membutuhkan pengantaraan dan pembelaan? Selain untuk membuat kita benar di hadapan Allah, juga karena tuduhan yang dilontarkan kepada kita oleh Iblis si penuduh, yang menuduh kita siang dan malam di hadapan Allah kita (Why 12:10), sehingga kita bisa kehilangan semangat."
"How then do we overcome such accusatory attacks? The answer is found in Rev 12:11. First, we conquer Satan by the blood of the Lamb; second, we conquer Satan by the word of our testimony; third, we conquer Satan by not fearing death.","Lalu bagaimana kita mengatasi serangan tuduhan seperti itu? Jawabannya ada di Why 12:11. Pertama, kita mengalahkan Iblis dengan darah Anak Domba; kedua, kita mengalahkan Iblis dengan perkataan kesaksian kita; ketiga, kita mengalahkan Iblis dengan tidak takut akan kematian."
"Christ has done the first for us on the cross in his earthly ministry, followed up by his heavenly ministry of intercession and advocacy. For the second and the third, we need to familiarize ourselves with the gospel of Christ in order to bear testimony to Christ and to love him more than our life.","Kristus telah melakukan yang pertama bagi kita di kayu salib dalam pelayanan-Nya di dunia, diikuti oleh pelayanan surgawi-Nya sebagai pengantara dan pembela. Untuk yang kedua dan ketiga, kita perlu mengenal Injil Kristus dengan lebih baik untuk memberikan kesaksian tentang Kristus dan mengasihi-Nya lebih dari hidup kita."
"Just now I promoted heavily Dane Ortlund’s Gentle and Lowly for us to know Christ and his work better, now I want to hard sell Don Carson’s For the Love of God, the two-volume devotional Bible commentary which I mentioned earlier, for us to know the gospel better.","Barusan saya banyak mempromosikan Gentle and Lowly karya Dane Ortlund agar kita lebih mengenal Kristus dan karya-Nya, sekarang saya ingin mempromosikan buku For the Love of God karya Don Carson, komentar Alkitab harian dua volume yang saya sebutkan sebelumnya, agar kita lebih mengenal Injil."
I have promoted it in Agape in-person and in Christos through social media. Now I would like to encourage the whole church to make use of Carson’s book for our growth in spiritual walk with Jesus.,Saya telah mempromosikannya secara langsung di Agape dan di Christos melalui media sosial. Sekarang saya ingin mendorong seluruh gereja untuk menggunakan buku Carson untuk pertumbuhan kita dalam perjalanan rohani bersama Yesus.
"You don’t need to buy the books, just sign up at www.thegospelcoalition.org for Read the Bible, and you will receive it in your email inbox daily.","Anda tidak perlu membeli buku tersebut, cukup mendaftar di www.thegospelcoalition.org untuk program Read the Bible, dan Anda akan menerimanya setiap hari di kotak masuk email Anda."
,
Conclusion,Kesimpulan
"As 2025 is around the corner, we are being reminded again of the important doctrines of the resurrection and the ascension.","Saat tahun 2025 semakin mendekat, kita diingatkan kembali akan doktrin penting tentang kebangkitan dan kenaikan."
"Both doctrines encourage us to seek transformation by the power of the resurrection, but if we fail, we have an intercessor and an advocate who prays for us.","Kedua doktrin ini mendorong kita untuk mencari transformasi melalui kuasa kebangkitan, tetapi jika kita gagal, kita memiliki seorang pengantara dan seorang pembela yang berdoa untuk kita."
May we step into 2025 with more love for our Lord and his word by reading it daily.,Kiranya kita melangkah ke tahun 2025 dengan lebih banyak kasih kepada Tuhan kita dan firman-Nya dengan membacanya setiap hari.
